"","CH_NORM_REAL","LST_NORM","NDMI_NORM","NDVI_NORM","JARAK_JALAN_NORM","LULC1.TA","TWI_LOG","SLOPE_LOG","TVI_LOG","Hotspot"
"36",0.457600682973862,0.395382642745972,0.737019002437592,0.921617209911346,0.427626103162766,"2",-0.753114879131317,-0.259770691394806,-2.46310663223267,"2"
"38",0.519225776195526,0.223383024334908,0.660057246685028,0.773959219455719,0.584174454212189,"2",-1.03987264633179,-0.413336336612701,-1.74249541759491,"2"
"39",0.585946798324585,0.215562075376511,0.655968606472015,0.813213646411896,0.490748912096024,"2",-0.980919420719147,-0.395595461130142,-1.79574382305145,"2"
"40",0.780804753303528,0.370137631893158,0.716064155101776,0.880150556564331,0.457290768623352,"2",-0.793567955493927,-0.127523303031921,-2.11371517181396,"2"
"41",0.855209171772003,0.389764964580536,0.727020442485809,0.914946734905243,0.529655277729034,"2",-0.615778207778931,-0.37899586558342,-2.23384380340576,"2"
"42",0.885471045970917,0.357930898666382,0.745254099369049,0.892040431499481,0.54973429441452,"2",-0.80646425485611,-0.444576442241669,-2.15906524658203,"2"
"43",0.922397792339325,0.321933060884476,0.691473722457886,0.856194972991943,0.442798465490341,"2",-0.810585558414459,-0.400257855653763,-1.98833858966827,"2"
"44",0.957538247108459,0.310390323400497,0.704577445983887,0.926868677139282,0.397887885570526,"2",-0.719254851341248,-0.304305255413055,-2.33359861373901,"2"
"45",0.876950085163116,0.363881856203079,0.717771053314209,0.904857993125916,0.437460035085678,"2",-0.850642085075378,-0.443523168563843,-2.33160543441772,"2"
"46",0.9008828997612,0.324232488870621,0.743677854537964,0.900213658809662,0.439584732055664,"2",-0.709999263286591,-0.807864606380463,-2.12367820739746,"2"
"47",0.929286241531372,0.270066797733307,0.707974016666412,0.913343131542206,0.352369785308838,"2",-0.71530818939209,-0.291601926088333,-2.3069953918457,"2"
"48",0.675221264362335,0.347689598798752,0.658495426177979,0.882807910442352,0.722451627254486,"2",-0.586878597736359,-0.425062268972397,-2.13124465942383,"2"
"49",0.776977717876434,0.223692163825035,0.66824746131897,0.822083115577698,0.764754235744476,"2",-0.577223122119904,-0.455765724182129,-1.89028131961823,"2"
"51",0.795056164264679,0.346153795719147,0.779451012611389,0.931783556938171,0.886419832706451,"2",-0.846023440361023,-0.306090861558914,-2.61730313301086,"2"
"52",0.836302936077118,0.264483541250229,0.76274448633194,0.927206635475159,0.63917738199234,"2",-0.947279691696167,-0.384853512048721,-2.46217894554138,"2"
"54",0.663305103778839,0.246306836605072,0.697746336460114,0.822313249111176,0.414151102304459,"2",-0.743369698524475,-0.315374314785004,-1.9386066198349,"2"
"55",0.6067795753479,0.290672689676285,0.775928378105164,0.633434891700745,0.277872055768967,"2",-0.6523157954216,-0.430966794490814,-1.41591310501099,"2"
"56",0.590496242046356,0.366493314504623,0.821616947650909,0.728671252727509,0.466195702552795,"2",-0.798009037971497,-0.326660662889481,-1.62215900421143,"2"
"57",0.838133990764618,0.272551476955414,0.70719039440155,0.873349905014038,0.799964487552643,"2",-0.930315911769867,-0.425678700208664,-2.49769806861877,"2"
"60",0.928692221641541,0.148034125566483,0.700142502784729,0.847321391105652,0.65763920545578,"2",-1.03468918800354,-0.464806467294693,-2.1928699016571,"2"
"61",0.976243436336517,0.396748840808868,0.727561116218567,0.924044251441956,0.406748801469803,"2",-0.710167050361633,-0.409245610237122,-2.36946201324463,"2"
"62",0.979945659637451,0.399777680635452,0.784450829029083,0.950798213481903,0.324354112148285,"2",-0.673849105834961,-0.554945647716522,-2.39713597297668,"2"
"63",0.978020012378693,0.31392914056778,0.735523045063019,0.939830303192139,0.293056488037109,"2",-0.715027987957001,-0.410203486680984,-2.63513135910034,"2"
"64",0.93072521686554,0.243038296699524,0.679264187812805,0.820059239864349,0.256572484970093,"2",-0.796620965003967,-0.292830586433411,-1.72652208805084,"2"
"66",0.917365670204163,0.356396347284317,0.759808659553528,0.957778513431549,0.116146333515644,"2",-0.768575191497803,-0.410326272249222,-2.1988639831543,"2"
